Word_low,Frequency,Word_high,Frequency on High-point descriptions,Frequency on Low-point descriptions,high/low,total
perfume,30,tang,59,41,1.43902439,100
much,626,white,988,687,1.438136827,1675
feed,12,zippy,23,16,1.4375,39
toward,93,varietal,165,115,1.434782609,280
hard-edged,17,punch,33,23,1.434782609,56
juicy,315,pear,558,389,1.434447301,947
prickle,26,asphalt,50,35,1.428571429,85
case,20,overtones,40,28,1.428571429,68
even,155,although,284,199,1.427135678,483
simple,1212,an,2029,1428,1.420868347,3457
watermelon,35,accent,68,48,1.416666667,116
job,34,edges,65,46,1.413043478,111
pairing,24,interest,48,34,1.411764706,82
marks,32,perhaps,62,44,1.409090909,106
pickled,119,malbec,214,153,1.39869281,367
influence,27,chocolaty,53,38,1.394736842,91
confected,53,suggests,99,71,1.394366197,170
subdued,44,impression,86,62,1.387096774,148
call,22,touriga,43,31,1.387096774,74
aroma,194,apricot,356,257,1.385214008,613
keeping,18,molasses,36,26,1.384615385,62
smelling,175,strong,314,227,1.383259912,541
top,53,chalky,98,71,1.38028169,169
of,9854,a,17635,12780,1.379890454,30415
m.m,16,results,33,24,1.375,57
and,24613,.,35356,25776,1.371663563,61132
are,2237,palate,3599,2654,1.356066315,6253
accessible,22,softness,42,31,1.35483871,73
cracker,21,characteristics,42,31,1.35483871,73
airing,46,soften,88,65,1.353846154,153
vanilla,699,fresh,1164,861,1.351916376,2025
somewhat,211,here,381,283,1.346289753,664
closes,18,addition,35,26,1.346153846,61
lambrusco,20,county,39,29,1.344827586,68
citrus,960,oak,1516,1128,1.343971631,2644
struggle,22,marks,43,32,1.34375,75
label,45,backed,88,66,1.333333333,154
higher,35,especially,68,51,1.333333333,119
had,22,powder,44,33,1.333333333,77
rises,14,ending,28,21,1.333333333,49
brambly,57,sangiovese,106,80,1.325,186
leaves,79,apples,143,108,1.324074074,251
different,23,highly,45,34,1.323529412,79
reserve,21,shy,41,31,1.322580645,72
very,668,plum,1099,833,1.319327731,1932
papaya,106,fruitiness,189,144,1.3125,333
filling,43,apricots,84,64,1.3125,148
reveal,20,nacional,38,29,1.310344828,67
zinfandel,128,about,234,179,1.30726257,413
entirely,59,making,111,85,1.305882353,196
n't,636,raspberry,1004,771,1.302204929,1775
unusual,90,drinking,160,123,1.300813008,283
points,20,stuff,39,30,1.3,69
lacking,108,could,191,148,1.290540541,339
cheerful,21,nature,40,31,1.290322581,71
finishing,82,across,145,113,1.283185841,258
recall,35,natural,68,53,1.283018868,121
packed,42,pears,82,64,1.28125,146
satisfying,12,medium-sweet,23,18,1.277777778,41
level,39,fat,74,58,1.275862069,132
buttered,167,make,299,236,1.266949153,535
summer,62,streak,114,90,1.266666667,204
blow,19,lighter,38,30,1.266666667,68
turns,158,caramel,290,230,1.260869565,520
greenness,15,used,29,23,1.260869565,52
previous,15,found,29,23,1.260869565,52
including,17,spring,34,27,1.259259259,61
bottles,20,weighty,39,31,1.258064516,70
by,1043,notes,1597,1272,1.255503145,2869
$,39,features,74,59,1.254237288,133
(,173,grapefruit,308,246,1.25203252,554
pomegranate,18,shot,35,28,1.25,63
consumed,13,heft,25,20,1.25,45
underwhelming,12,tannat,25,20,1.25,45
shiraz,28,leading,56,45,1.244444444,101
greater,16,sweetly,31,25,1.24,56
generic,229,hint,398,321,1.239875389,719
vague,13,appearance,26,21,1.238095238,47
blowsy,13,characterize,26,21,1.238095238,47
stone,119,makes,214,173,1.23699422,387
shows,601,blend,983,795,1.236477987,1778
roasted,186,;,346,280,1.235714286,626
fleshy,78,refreshing,142,115,1.234782609,257
salty,145,then,264,214,1.23364486,478
combines,19,moderate,37,30,1.233333333,67
sandalwood,19,superripe,37,30,1.233333333,67
quiet,16,framing,32,26,1.230769231,58
old,73,variety,136,111,1.225225225,247
each,17,extract,33,27,1.222222222,60
know,23,gold,45,37,1.216216216,82
rather,244,merlot,431,355,1.214084507,786
give,250,almost,440,364,1.208791209,804
likeable,15,signs,29,24,1.208333333,53
this,7827,with,11275,9360,1.204594017,20635
classic,34,bring,65,54,1.203703704,119
malbec,153,only,279,232,1.202586207,511
acceptable,51,cream,96,80,1.2,176
verde,28,strawberries,54,45,1.2,99
exhibits,12,ripened,24,20,1.2,44
full-bodied,134,quality,237,198,1.196969697,435
cheesy,41,bean,79,66,1.196969697,145
lemons,35,result,67,56,1.196428571,123
brings,91,warm,160,134,1.194029851,294
mango,120,do,217,182,1.192307692,399
acidity,2181,but,3392,2848,1.191011236,6240
bearing,13,characteristic,26,22,1.181818182,48
few,86,though,151,128,1.1796875,279
fade,23,try,46,39,1.179487179,85
lamb,21,kick,40,34,1.176470588,74
re,32,plus,62,53,1.169811321,115
lends,14,spent,28,24,1.166666667,52
bland,158,baked,291,250,1.164,541
grippy,25,filling,50,43,1.162790698,93
like,1037,red,1594,1380,1.155072464,2974
softness,31,drinks,60,52,1.153846154,112
generous,40,marked,76,66,1.151515152,142
about,179,lead,327,284,1.151408451,611
hearty,16,influence,31,27,1.148148148,58
reasonably,28,hit,55,48,1.145833333,103
earthy,481,vanilla,800,699,1.144492132,1499
at,698,while,1149,1005,1.143283582,2154
wintergreen,16,plummy,32,28,1.142857143,60
older,12,saline,24,21,1.142857143,45
date,12,cracker,24,21,1.142857143,45
aging,127,what,227,199,1.140703518,426
solid,119,thick,213,187,1.139037433,400
into,313,orange,555,488,1.137295082,1043
high-acid,29,scent,58,51,1.137254902,109
creamed,17,appears,34,30,1.133333333,64
floral,208,creamy,380,336,1.130952381,716
brand,13,pronounced,26,23,1.130434783,49
any,118,roasted,210,186,1.129032258,396
notes,1272,has,2272,2013,1.128663686,4285
final,63,skin,115,102,1.12745098,217
that,2981,on,4298,3813,1.127196433,8111
foamy,53,austere,99,88,1.125,187
further,14,pairing,27,24,1.125,51
follow,38,away,73,65,1.123076923,138
combination,33,appealing,64,57,1.122807018,121
based,33,brambly,64,57,1.122807018,121
leave,33,astringency,64,57,1.122807018,121
almost,364,up,633,564,1.122340426,1197
bath,19,remain,37,33,1.121212121,70
raspberry,771,there,1212,1090,1.111926606,2302
raspy,15,suggestion,30,27,1.111111111,57
hit,48,rhubarb,91,82,1.109756098,173
some,1020,nose,1583,1431,1.106219427,3014
pear,389,touch,647,588,1.100340136,1235
traces,12,successful,24,22,1.090909091,46
spectrum,12,call,24,22,1.090909091,46
fur,19,early,37,34,1.088235294,71
particular,19,runs,37,34,1.088235294,71
moderately,20,limes,38,35,1.085714286,73
tannins,1306,are,2428,2237,1.085382208,4665
unconvincing,13,sturdy,26,24,1.083333333,50
lime,285,note,508,470,1.080851064,978
earth,151,way,275,255,1.078431373,530
sipper,29,run,57,53,1.075471698,110
glass,72,pie,133,124,1.072580645,257
residual,86,lots,151,141,1.070921986,292
run,53,charred,98,92,1.065217391,190
fair,25,port,49,46,1.065217391,95
prominent,28,drunk,56,53,1.056603774,109
comes,168,lime,300,285,1.052631579,585
goes,42,leaves,83,79,1.050632911,162
perfect,23,meats,45,43,1.046511628,88
lending,12,had,23,22,1.045454545,45
cuts,24,label,47,45,1.044444444,92
green-herb,13,northern,25,24,1.041666667,49
tarragon,14,particularly,27,26,1.038461538,53
young,139,body,245,237,1.033755274,482
peel,90,without,160,155,1.032258065,315
again,17,blast,34,33,1.03030303,67
how,21,maybe,41,40,1.025,81
sb,28,typical,55,54,1.018518519,109
develop,28,caramelized,55,54,1.018518519,109
shy,31,char,60,59,1.016949153,119
delicious,37,syrup,71,70,1.014285714,141
cider,42,milk,82,81,1.012345679,163
than,414,character,726,718,1.011142061,1444
grigio,65,any,119,118,1.008474576,237
same,62,close,114,114,1,228
soil,15,component,31,31,1,62
yeasty,128,tangy,234,236,0.991525424,470
layers,41,extracted,78,79,0.987341772,157
leathery,123,if,219,222,0.986486486,441
tempranillo,72,down,133,135,0.985185185,268
weedy,109,peppery,197,201,0.980099502,398
place,21,air,40,41,0.975609756,81
include,61,brisk,112,115,0.973913043,227
lasting,38,broad,72,74,0.972972973,146
severe,18,version,35,36,0.972222222,71
component,31,varieties,60,62,0.967741935,122
dull,183,strawberry,335,348,0.962643678,683
grape,176,ready,317,330,0.960606061,647
fish,22,italy,43,45,0.955555556,88
experience,21,extraction,41,43,0.953488372,84
potential,21,expect,40,42,0.952380952,82
find,97,almond,171,180,0.95,351
good,707,berry,1185,1251,0.947242206,2436
normally,17,lemon-lime,34,36,0.944444444,70
enjoyment,17,follows,34,36,0.944444444,70
albari,16,lemons,33,35,0.942857143,68
foods,34,dominated,65,69,0.942028986,134
course,23,work,45,48,0.9375,93
syrah,293,peach,518,554,0.935018051,1072
price,218,than,387,414,0.934782609,801
years,92,followed,163,176,0.926136364,339
have,312,tannic,545,589,0.925297114,1134
wood,330,or,590,639,0.923317684,1229
paste,12,brut,24,26,0.923076923,50
terribly,24,'re,47,51,0.921568627,98
yeast,29,might,58,63,0.920634921,121
harsh,155,have,285,312,0.913461538,597
table,49,gentle,94,103,0.912621359,197
scour,20,soon,38,42,0.904761905,80
northern,24,flavored,47,52,0.903846154,99
millon,23,tartness,46,51,0.901960784,97
tones,151,edge,274,304,0.901315789,578
loud,18,drop,35,39,0.897435897,74
entry-level,13,fact,26,29,0.896551724,55
root,17,rest,34,38,0.894736842,72
ruby,21,tone,42,47,0.893617021,89
unripe,109,end,193,216,0.893518519,409
issues,15,middle,31,35,0.885714286,66
freshener,22,rh,43,49,0.87755102,92
cinsault,14,sensations,28,32,0.875,60
focused,14,re,28,32,0.875,60
blocky,35,skins,68,78,0.871794872,146
totally,27,include,53,61,0.868852459,114
tight,236,earthy,417,481,0.866943867,898
closed,33,offer,64,74,0.864864865,138
parties,41,sirah,78,91,0.857142857,169
youth,12,hardly,24,28,0.857142857,52
bitter,700,dry,1185,1388,0.853746398,2573
contains,18,due,35,41,0.853658537,76
expect,42,petite,82,97,0.845360825,179
loads,16,follow,32,38,0.842105263,70
perfectly,19,subdued,37,44,0.840909091,81
forced,53,mango,100,120,0.833333333,220
charred,92,round,164,197,0.83248731,361
cocoa,87,bouquet,154,185,0.832432432,339
behind,53,plump,99,119,0.831932773,218
leftover,15,say,29,35,0.828571429,64
many,75,cab,140,169,0.828402367,309
passion,43,may,84,102,0.823529412,186
layering,12,gris,23,28,0.821428571,51
produces,12,qualities,23,28,0.821428571,51
result,56,lemony,104,127,0.818897638,231
toast,301,flavor,538,657,0.818873668,1195
heart,14,colored,27,33,0.818181818,60
within,15,ends,30,37,0.810810811,67
marshmallow,21,dominates,41,51,0.803921569,92
sulfuric,23,probably,47,59,0.796610169,106
problem,20,table,39,49,0.795918367,88
woody,119,off,214,269,0.795539033,483
crisply,12,ne,23,29,0.793103448,52
expressive,23,terms,45,57,0.789473684,102
neither,25,crispness,50,64,0.78125,114
gives,213,chardonnay,381,489,0.779141104,870
chard,71,buttered,130,167,0.778443114,297
ever,14,prime,28,36,0.777777778,64
them,30,gets,59,76,0.776315789,135
which,400,crisp,655,850,0.770588235,1505
nacional,29,however,57,74,0.77027027,131
also,405,apple,702,914,0.768052516,1616
dry,1388,aromas,2584,3380,0.764497041,5964
jagged,29,point,58,76,0.763157895,134
o,73,grape,134,176,0.761363636,310
smoke,111,quite,200,264,0.757575758,464
orchard,13,leave,25,33,0.757575758,58
show,179,color,327,433,0.755196305,760
sauvignon,406,citrus,720,960,0.75,1680
cement,16,match,33,44,0.75,77
wrong,15,gently,30,40,0.75,70
sea,16,passion,32,43,0.744186047,75
cloying,136,sweetness,241,324,0.74382716,565
for,1379,finish,2441,3286,0.742848448,5727
drop,39,dessert,75,101,0.742574257,176
ruby-colored,12,american,23,31,0.741935484,54
priced,22,onto,43,58,0.74137931,101
wave,22,bite,43,58,0.74137931,101
defined,20,surprisingly,39,53,0.735849057,92
appellation,32,residual,63,86,0.73255814,149
cellar,15,seemingly,30,41,0.731707317,71
gummy,33,mark,65,89,0.730337079,154
bring,54,going,102,140,0.728571429,242
their,37,viognier,72,99,0.727272727,171
espresso,24,leads,48,66,0.727272727,114
possible,16,tasted,32,44,0.727272727,76
leather,193,mouthfeel,356,490,0.726530612,846
powdery,27,o,53,73,0.726027397,126
rare,13,definitely,26,36,0.722222222,62
middle,35,peaches,67,93,0.720430108,160
vibrant,36,nectarine,69,96,0.71875,165
foam,12,instead,23,32,0.71875,55
combined,13,honeydew,25,35,0.714285714,60
balances,13,recall,25,35,0.714285714,60
overwhelm,12,upfront,25,35,0.714285714,60
either,23,things,47,66,0.712121212,113
far,47,yeasty,91,128,0.7109375,219
undertones,12,wide,24,34,0.705882353,58
basic,254,mouth,441,626,0.704472843,1067
marginal,16,value,33,47,0.70212766,80
finish,3286,flavors,4557,6506,0.700430372,11063
corn,56,would,105,150,0.7,255
generally,15,bramble,31,45,0.688888889,76
underneath,29,leaving,57,83,0.686746988,140
almonds,13,offset,26,38,0.684210526,64
nutmeg,15,briary,30,44,0.681818182,74
complexity,85,acids,150,221,0.678733032,371
colored,33,carry,65,96,0.677083333,161
beautiful,14,jelly,27,40,0.675,67
before,97,enough,172,256,0.671875,428
tasting,144,pineapple,264,395,0.66835443,659
barrel,87,aftertaste,154,232,0.663793103,386
flower,103,jam,184,278,0.661870504,462
concentration,99,no,174,264,0.659090909,438
golden,49,prune,92,140,0.657142857,232
citric,131,high,235,358,0.656424581,593
bacon,48,suggest,91,139,0.654676259,230
spoils,14,use,28,43,0.651162791,71
quite,264,good,459,707,0.649222065,1166
marmalade,19,dominant,37,57,0.649122807,94
plus,53,get,99,154,0.642857143,253
custard,17,help,34,53,0.641509434,87
topped,12,carob,23,36,0.638888889,59
cough,38,dominate,74,117,0.632478632,191
varietal,115,tropical,206,331,0.622356495,537
extraction,43,front,84,135,0.622222222,219
value,47,salty,90,145,0.620689655,235
fact,29,toward,57,93,0.612903226,150
funk,22,nutty,44,72,0.611111111,116
scattered,15,pungent,31,51,0.607843137,82
nutty,72,juice,133,220,0.604545455,353
over,228,tart,397,667,0.595202399,1064
nectarine,96,pretty,168,284,0.591549296,452
these,28,buttery,55,93,0.591397849,148
overdone,18,kind,36,61,0.590163934,97
ed,12,similar,25,43,0.581395349,68
enjoyable,30,slight,59,102,0.578431373,161
stuffing,12,soda,23,40,0.575,63
indicates,14,cooked,27,47,0.574468085,74
against,20,past,39,68,0.573529412,107
touriga,31,butterscotch,60,105,0.571428571,165
something,74,sugar,138,244,0.56557377,382
taste,327,some,575,1020,0.56372549,1595
prune,140,does,251,452,0.555309735,703
range,19,drying,38,69,0.550724638,107
plush,21,mixed,40,73,0.547945205,113
manages,12,bubbles,23,42,0.547619048,65
or,639,sweet,1011,1852,0.545896328,2863
gently,40,lot,75,138,0.543478261,213
name,36,profile,69,127,0.543307087,196
past,68,side,125,233,0.536480687,358
spiced,76,lightly,142,266,0.533834586,408
shot,28,less,56,105,0.533333333,161
black-currant,24,quickly,47,89,0.528089888,136
profile,127,hard,230,441,0.52154195,671
home,13,difficult,26,50,0.52,76
almond,180,n't,330,636,0.518867925,966
deliver,14,oranges,28,54,0.518518519,82
strawberry,348,not,608,1179,0.515691264,1787
charming,13,rugged,26,51,0.509803922,77
pleasantly,23,appeal,44,87,0.505747126,131
close,114,alcohol,205,407,0.503685504,612
want,28,starts,55,110,0.5,165
current,14,cheese,28,56,0.5,84
hue,12,direct,24,48,0.5,72
pie,124,clean,224,449,0.498886414,673
'd,23,food,46,94,0.489361702,140
beyond,53,overall,99,203,0.487684729,302
imported,39,raisin,75,155,0.483870968,230
describe,15,summer,30,62,0.483870968,92
entry,14,hay,28,58,0.482758621,86
clipped,30,leathery,59,123,0.479674797,182
pleasant,215,fruity,383,801,0.47815231,1184
missing,49,aroma,92,194,0.474226804,286
usa,17,tempranillo,34,72,0.472222222,106
just,449,soft,749,1589,0.471365639,2338
leesy,28,pink,56,119,0.470588235,175
jam,278,like,481,1037,0.463837994,1518
making,85,taste,150,327,0.458715596,477
however,74,seems,139,310,0.448387097,449
buried,13,sparkler,26,58,0.448275862,84
viognier,99,finishes,175,392,0.446428571,567
amounts,28,zinfandel,56,128,0.4375,184
grown,26,s,51,118,0.43220339,169
quaff,25,woody,50,119,0.420168067,169
loaded,20,nothing,39,93,0.419354839,132
trying,14,resin,27,65,0.415384615,92
falls,50,medium,94,227,0.414096916,321
lead,284,light,504,1244,0.405144695,1748
vines,21,sparkling,40,99,0.404040404,139
oak-based,18,red-berry,35,88,0.397727273,123
overtones,28,heat,55,140,0.392857143,195
need,37,nice,71,182,0.39010989,253
work,48,blanc,91,235,0.387234043,326
produce,17,pineapples,33,87,0.379310345,120
core,107,too,190,504,0.376984127,694
though,128,much,232,626,0.370607029,858
filled,16,unusual,33,90,0.366666667,123
deeply,15,screwcap,30,82,0.365853659,112
linear,16,feeling,32,88,0.363636364,120
chilean,19,neutral,37,102,0.362745098,139
garnacha,46,rather,88,244,0.360655738,332
chicken,36,pair,69,195,0.353846154,264
floor,19,acid,37,105,0.352380952,142
butterscotch,105,feel,186,532,0.34962406,718
largely,19,papaya,37,106,0.349056604,143
awkward,97,candied,171,508,0.336614173,679
box,18,barely,35,104,0.336538462,139
forest,38,price,73,218,0.334862385,291
ap,58,oaky,107,322,0.332298137,429
fizzy,18,stewed,36,112,0.321428571,148
bready,27,seem,52,168,0.30952381,220
rubbery,230,green,400,1297,0.308404009,1697
25,15,mostly,30,98,0.306122449,128
proper,16,turn,33,109,0.302752294,142
cava,21,citrusy,42,139,0.302158273,181
except,39,attractive,75,273,0.274725275,348
probably,59,jammy,110,402,0.273631841,512
faded,13,overly,27,100,0.27,127
wine,5426,?,7505,85,88.29411765,7590
nondescript,23,low,46,177,0.259887006,223
malvasia,16,zin,32,125,0.256,157
fermented,24,tomato,48,191,0.251308901,239
really,101,bit,179,714,0.25070028,893
successful,22,medium-bodied,44,177,0.248587571,221
supple,30,raw,58,236,0.245762712,294
max,13,otherwise,26,106,0.245283019,132
nor,24,minty,48,196,0.244897959,244
longer,24,tough,48,201,0.23880597,249
bordeaux-style,14,syrupy,28,118,0.237288136,146
lingers,28,candy,55,234,0.235042735,289
beet,14,underripe,27,116,0.232758621,143
dominate,117,herbal,209,911,0.229418222,1120
leaving,83,slightly,147,673,0.218424963,820
available,14,citric,28,131,0.213740458,159
most,81,little,145,685,0.211678832,830
looks,13,fairly,26,125,0.208,151
extracted,79,bitter,143,700,0.204285714,843
murky,84,feels,149,739,0.201623816,888
2010,15,tasting,29,144,0.201388889,173
liqueur,18,astringent,35,174,0.201149425,209
wiry,45,melon,87,440,0.197727273,527
valpolicella,15,funky,30,156,0.192307692,186
soapy,53,heavy,99,522,0.189655172,621
precede,29,acidic,58,320,0.18125,378
pine,28,hot,55,325,0.169230769,380
depth,77,tastes,142,858,0.165501166,1000
dash,18,pleasant,35,215,0.162790698,250
ginger,18,somewhat,34,211,0.161137441,245
offputting,12,turns,25,158,0.158227848,183
inky,16,bitterness,32,208,0.153846154,240
worth,20,burnt,39,264,0.147727273,303
beans,34,sour,66,455,0.145054945,521
lettuce,18,chunky,36,259,0.138996139,295
aromatically,27,easy,54,401,0.134663342,455
qualities,28,sharp,56,453,0.123620309,509
lusty,15,ros,29,272,0.106617647,301
lightest,20,smells,39,382,0.102094241,421
tawny,15,rustic,31,345,0.089855072,376
thrown,20,lean,39,470,0.082978723,509