Word_low,Frequency on Low-point descriptions,Word_high,Frequency,Frequency on High-point descriptions,low/high,total
simple,1212,an,2029,20,60.6,1232
thin,435,over,735,20,21.75,455
flat,357,wild,626,20,17.85,377
short,342,sauvignon,602,20,17.1,362
sugary,302,cola,538,20,15.1,322
vegetal,287,cherries,511,20,14.35,307
stalky,274,honey,476,20,13.7,294
basic,254,mouth,441,20,12.7,274
lean,470,just,786,39,12.05128205,509
rubbery,230,green,400,20,11.5,250
generic,229,hint,398,20,11.45,249
overripe,228,needs,397,20,11.4,248
lacks,224,show,394,20,11.2,244
rustic,345,clove,605,31,11.12903226,376
mild,219,floral,389,20,10.95,239
modest,217,opulent,386,20,10.85,237
smells,382,complexity,646,39,9.794871795,421
everyday,192,packed,356,20,9.6,212
rough,188,vines,349,20,9.4,208
ros,272,pure,473,29,9.379310345,301
briny,185,right,340,20,9.25,205
pithy,183,together,337,20,9.15,203
dull,183,strawberry,335,20,9.15,203
decent,177,mature,321,20,8.85,197
smelling,175,strong,314,20,8.75,195
grassy,175,classic,313,20,8.75,195
banana,167,grapes,299,20,8.35,187
oily,164,mix,298,20,8.2,184
sharp,453,wood,760,56,8.089285714,509
medicinal,158,until,294,20,7.9,178
watery,158,tea,292,20,7.9,178
bland,158,baked,291,20,7.9,178
harsh,155,have,285,20,7.75,175
resiny,153,around,279,20,7.65,173
easy,401,power,676,54,7.425925926,455
gritty,148,winemaker,265,20,7.4,168
leafy,144,aged,263,20,7.2,164
chunky,259,herbs,458,36,7.194444444,295
raisiny,140,produced,251,20,7,160
sour,455,richness,770,66,6.893939394,521
cloying,136,sweetness,241,20,6.8,156
dilute,136,brings,241,20,6.8,156
burnt,264,hints,461,39,6.769230769,303
bitterness,208,intensity,375,32,6.5,240
rubber,127,french,231,20,6.35,147
turns,158,caramel,290,25,6.32,183
sticky,126,zesty,226,20,6.3,146
off-dry,125,expression,225,20,6.25,145
somewhat,211,here,381,34,6.205882353,245
grabby,124,sage,224,20,6.2,144
oxidized,123,toasted,220,20,6.15,143
pleasant,215,fruity,383,35,6.142857143,250
tastes,858,firm,1343,142,6.042253521,1000
pickled,119,malbec,214,20,5.95,139
hot,325,tight,573,55,5.909090909,380
mealy,118,they,213,20,5.9,138
red-fruit,117,elements,209,20,5.85,137
lychee,113,open,203,20,5.65,133
acidic,320,toast,567,58,5.517241379,378
weedy,109,peppery,197,20,5.45,129
unripe,109,end,193,20,5.45,129
mildly,108,site,192,20,5.4,128
lacking,108,could,191,20,5.4,128
scratchy,106,floor,188,20,5.3,126
straightforward,106,decade,187,20,5.3,126
heavy,522,dried,898,99,5.272727273,621
funky,156,lively,288,30,5.2,186
lack,102,plush,183,20,5.1,122
melon,440,balance,740,87,5.057471264,527
herbaceous,100,take,177,20,5,120
astringent,174,refined,309,35,4.971428571,209
tasting,144,pineapple,264,29,4.965517241,173
feels,739,great,1208,149,4.959731544,888
bitter,700,dry,1185,143,4.895104895,843
awkward,97,candied,171,20,4.85,117
fairly,125,thyme,224,26,4.807692308,151
odd,95,fully,168,20,4.75,115
little,685,long,1109,145,4.724137931,830
citric,131,high,235,28,4.678571429,159
flabby,92,family,164,20,4.6,112
slightly,673,complex,1106,147,4.578231293,820
strange,91,cut,162,20,4.55,111
bell,90,blossom,159,20,4.5,110
raisins,89,lift,159,20,4.45,109
stemmy,89,'ll,158,20,4.45,109
edgy,88,wet,157,20,4.4,108
bad,88,against,155,20,4.4,108
herbal,911,blackberry,1440,209,4.358851675,1120
choppy,86,beef,151,20,4.3,106
barnyard,86,add,151,20,4.3,106
underripe,116,finesse,209,27,4.296296296,143
candy,234,barrel,407,55,4.254545455,289
syrupy,118,5,210,28,4.214285714,146
murky,84,feels,149,20,4.2,104
asparagus,84,stage,148,20,4.2,104
tough,201,exotic,369,48,4.1875,249
narrow,83,honeyed,148,20,4.15,103
grass,83,perfectly,147,20,4.15,103
minty,196,many,358,48,4.083333333,244
otherwise,106,backbone,187,26,4.076923077,132
raw,236,bottle,428,58,4.068965517,294
medium-bodied,177,violet,321,44,4.022727273,221
bit,714,all,1191,179,3.988826816,893
tomato,191,weight,355,48,3.979166667,239
zin,125,2030,226,32,3.90625,157
low,177,toasty,321,46,3.847826087,223
stewy,76,barolo,141,20,3.8,96
popcorn,75,2019,140,20,3.75,95
overly,100,intensely,176,27,3.703703704,127
hollow,74,being,139,20,3.7,94
jammy,402,smooth,686,110,3.654545455,512
unbalanced,73,massive,137,20,3.65,93
snappy,73,truffle,133,20,3.65,93
light-bodied,73,4,133,20,3.65,93
attractive,273,beautifully,476,75,3.64,348
angular,72,15,132,20,3.6,92
easygoing,72,chopped,131,20,3.6,92
muddled,71,set,131,20,3.55,91
diluted,71,beauty,130,20,3.55,91
one-dimensional,71,mouthwatering,130,20,3.55,91
chard,71,buttered,130,20,3.55,91
heavily,70,beyond,128,20,3.5,90
lightweight,69,support,126,20,3.45,89
sweaty,68,nicely,124,20,3.4,88
melony,67,combine,124,20,3.35,87
waxy,67,bacon,123,20,3.35,87
fare,67,minerals,122,20,3.35,87
citrusy,139,whiff,247,42,3.30952381,181
turn,109,chewy,195,33,3.303030303,142
mostly,98,touches,173,30,3.266666667,128
disjointed,65,asian,119,20,3.25,85
grigio,65,any,119,20,3.25,85
easy-drinking,65,coming,118,20,3.25,85
green,1297,as,2378,400,3.2425,1697
seem,168,100,300,52,3.230769231,220
canned,64,frame,118,20,3.2,84
faint,63,play,116,20,3.15,83
stewed,112,napa,201,36,3.111111111,148
porty,62,release,115,20,3.1,82
barbecue,62,petal,114,20,3.1,82
animal,61,dre,113,20,3.05,81
quick,61,spiced,112,20,3.05,81
oaky,322,core,568,107,3.009345794,429
standard,60,considerable,112,20,3,80
price,218,than,387,73,2.98630137,291
barely,104,perfect,185,35,2.971428571,139
candied,508,be,895,171,2.970760234,679
gooseberry,59,three,111,20,2.95,79
okay,59,background,110,20,2.95,79
dishes,59,fennel,109,20,2.95,79
clumsy,58,own,109,20,2.9,78
ap,58,oaky,107,20,2.9,78
ritif,58,golden,107,20,2.9,78
papaya,106,fruitiness,189,37,2.864864865,143
feel,532,one,908,186,2.860215054,718
tired,57,each,107,20,2.85,77
pale,57,champagne,107,20,2.85,77
aggressive,57,strongly,106,20,2.85,77
friendly,57,meet,105,20,2.85,77
prickly,57,3,105,20,2.85,77
informal,57,closed,105,20,2.85,77
acid,105,stunning,185,37,2.837837838,142
pair,195,(,358,69,2.826086957,264
corn,56,would,105,20,2.8,76
pizza,56,everything,103,20,2.8,76
rather,244,merlot,431,88,2.772727273,332
neutral,102,fine-grained,183,37,2.756756757,139
feeling,88,go,155,32,2.75,120
else,55,every,103,20,2.75,75
saucy,55,effort,102,20,2.75,75
screwcap,82,back,145,30,2.733333333,112
unusual,90,drinking,160,33,2.727272727,123
white-fruit,54,grip,102,20,2.7,74
compost,54,grippy,100,20,2.7,74
burgers,54,energy,100,20,2.7,74
much,626,white,988,232,2.698275862,858
too,504,elegant,864,190,2.652631579,694
forced,53,mango,100,20,2.65,73
soapy,53,heavy,99,20,2.65,73
foamy,53,austere,99,20,2.65,73
confected,53,suggests,99,20,2.65,73
pineapples,87,boysenberry,153,33,2.636363636,120
muted,52,immediately,97,20,2.6,72
blanc,235,2018,417,91,2.582417582,326
nice,182,currants,335,71,2.563380282,253
acceptable,51,cream,96,20,2.55,71
heat,140,hold,251,55,2.545454545,195
red-berry,88,last,155,35,2.514285714,123
soupy,50,satisfying,94,20,2.5,70
falls,50,medium,94,20,2.5,70
sort,50,liqueur,94,20,2.5,70
sparkling,99,their,173,40,2.475,139
light,1244,spice,2069,504,2.468253968,1748
regular,49,block,93,20,2.45,69
limited,49,2023,93,20,2.45,69
melted,49,part,93,20,2.45,69
jumpy,49,bracing,93,20,2.45,69
volatile,49,premier,93,20,2.45,69
plastic,49,sheer,93,20,2.45,69
burn,49,once,92,20,2.45,69
fun,49,rosemary,92,20,2.45,69
missing,49,aroma,92,20,2.45,69
medium,227,elegance,395,94,2.414893617,321
resin,65,8,119,27,2.407407407,92
weak,48,stylish,92,20,2.4,68
veer,48,robust,91,20,2.4,68
nothing,93,firmly,166,39,2.384615385,132
woody,119,off,214,50,2.38,169
reduced,47,2024,90,20,2.35,67
smell,47,dramatic,90,20,2.35,67
chemical,47,maturity,90,20,2.35,67
s,118,giving,211,51,2.31372549,169
overtly,46,likely,89,20,2.3,66
oaked,46,dryness,89,20,2.3,66
strained,46,ground,89,20,2.3,66
garnacha,46,rather,88,20,2.3,66
prosecco,46,among,88,20,2.3,66
airing,46,soften,88,20,2.3,66
zinfandel,128,about,234,56,2.285714286,184
we,45,lasting,88,20,2.25,65
spritzy,45,start,87,20,2.25,65
sulfur,45,tense,87,20,2.25,65
foxy,45,honeysuckle,87,20,2.25,65
unfocused,45,outstanding,87,20,2.25,65
wiry,45,melon,87,20,2.25,65
finishes,392,young,649,175,2.24,567
sparkler,58,life,108,26,2.230769231,84
seems,310,develop,542,139,2.230215827,449
semisweet,44,vintages,87,20,2.2,64
fading,44,river,86,20,2.2,64
lactic,44,layer,85,20,2.2,64
taste,327,some,575,150,2.18,477
like,1037,red,1594,481,2.155925156,1518
gum,43,grace,85,20,2.15,63
pink,119,verdot,213,56,2.125,175
soft,1589,cherry,2765,749,2.121495327,2338
tempranillo,72,down,133,34,2.117647059,106
aroma,194,apricot,356,92,2.108695652,286
cider,42,milk,82,20,2.1,62
sugared,42,cuv,82,20,2.1,62
fleeting,42,under,82,20,2.1,62
fruity,801,very,1289,383,2.091383812,1184
leathery,123,if,219,59,2.084745763,182
hay,58,emerge,108,28,2.071428571,86
raisin,155,forest,283,75,2.066666667,230
summer,62,streak,114,30,2.066666667,92
overall,203,perfumed,372,99,2.050505051,302
weird,41,sites,81,20,2.05,61
anywhere,41,above,81,20,2.05,61
moscato,41,amazing,81,20,2.05,61
cherry-berry,41,blueberries,80,20,2.05,61
grapy,41,youthfully,80,20,2.05,61
tad,41,hits,80,20,2.05,61
mulchy,41,rock,79,20,2.05,61
cheesy,41,bean,79,20,2.05,61
bubbly,41,mushroom,79,20,2.05,61
parties,41,sirah,78,20,2.05,61
choice,41,opulence,78,20,2.05,61
food,94,cool,167,46,2.043478261,140
clean,449,leather,745,224,2.004464286,673
starts,110,adds,199,55,2,165
cheese,56,how,103,28,2,84
direct,48,2028,91,24,2,72
prunes,40,sagebrush,77,20,2,60
scouring,40,TRUE,77,20,2,60
score,40,precise,77,20,2,60
fall,40,level,77,20,2,60
done,40,displays,76,20,2,60
alcohol,407,tobacco,725,205,1.985365854,612
appeal,87,grenache,153,44,1.977272727,131
rugged,51,combination,95,26,1.961538462,77
imported,39,raisin,75,20,1.95,59
anything,39,2011,75,20,1.95,59
except,39,attractive,75,20,1.95,59
jumbled,39,unfold,74,20,1.95,59
artificial,39,name,74,20,1.95,59
$,39,features,74,20,1.95,59
not,1179,dark,1854,608,1.939144737,1787
oranges,54,throughout,100,28,1.928571429,82
n't,636,raspberry,1004,330,1.927272727,966
difficult,50,peppercorn,94,26,1.923076923,76
hard,441,cassis,741,230,1.917391304,671
gaseous,38,including,74,20,1.9,58
cough,38,dominate,74,20,1.9,58
ultimately,38,hill,74,20,1.9,58
fast,38,freshly,74,20,1.9,58
italian,38,2015,72,20,1.9,58
quickly,89,2023,157,47,1.893617021,136
less,105,lavender,185,56,1.875,161
lightly,266,spices,462,142,1.873239437,408
side,233,style,402,125,1.864,358
water,37,2009,72,20,1.85,57
oddly,37,shine,72,20,1.85,57
metallic,37,mulberry,72,20,1.85,57
inexpensive,37,vivid,72,20,1.85,57
profile,127,hard,230,69,1.84057971,196
lot,138,supple,245,75,1.84,213
sweet,1852,ripe,3026,1011,1.831849654,2863
bubbles,42,parcel,82,23,1.826086957,65
mixed,73,been,133,40,1.825,113
drying,69,waves,126,38,1.815789474,107
does,452,new,758,251,1.800796813,703
pinched,36,40,70,20,1.8,56
abrasive,36,enjoyable,70,20,1.8,56
adequate,36,l,70,20,1.8,56
chicken,36,pair,69,20,1.8,56
fiery,36,based,69,20,1.8,56
chilled,36,meld,69,20,1.8,56
common,36,hills,69,20,1.8,56
sound,36,personality,69,20,1.8,56
some,1020,nose,1583,575,1.773913043,1595
sugar,244,coffee,436,138,1.768115942,382
butterscotch,105,feel,186,60,1.75,165
watermelon,35,accent,68,20,1.75,55
blocky,35,skins,68,20,1.75,55
higher,35,especially,68,20,1.75,55
grating,35,them,68,20,1.75,55
definition,35,attention,68,20,1.75,55
wo,35,loads,68,20,1.75,55
ham,35,root,67,20,1.75,55
past,68,side,125,39,1.743589744,107
cooked,47,2021,90,27,1.740740741,74
soda,40,decades,77,23,1.739130435,63
slight,102,keep,182,59,1.728813559,161
similar,43,blended,84,25,1.72,68
left,34,hibiscus,66,20,1.7,54
beans,34,sour,66,20,1.7,54
lost,34,unctuous,66,20,1.7,54
pasta,34,earthiness,66,20,1.7,54
job,34,edges,65,20,1.7,54
foods,34,dominated,65,20,1.7,54
kind,61,provides,112,36,1.694444444,97
buttery,93,de,166,55,1.690909091,148
pretty,284,earth,502,168,1.69047619,452
tart,667,full,1070,397,1.680100756,1064
juice,220,potential,390,133,1.654135338,353
thing,33,parts,65,20,1.65,53
mustard,33,equal,65,20,1.65,53
vinegar,33,fabulous,65,20,1.65,53
gummy,33,mark,65,20,1.65,53
grapey,33,world,65,20,1.65,53
fades,33,2035,64,20,1.65,53
dominating,33,completely,64,20,1.65,53
pungent,51,sea,96,31,1.64516129,82
nutty,72,juice,133,44,1.636363636,116
toward,93,varietal,165,57,1.631578947,150
salty,145,then,264,90,1.611111111,235
front,135,taut,238,84,1.607142857,219
tropical,331,which,593,206,1.606796117,537
lifesaver,32,rare,63,20,1.6,52
struggles,32,blends,63,20,1.6,52
feline,32,bursting,63,20,1.6,52
rusty,32,cured,63,20,1.6,52
ca,32,gorgeously,63,20,1.6,52
barbera,32,finest,63,20,1.6,52
helps,32,impeccable,63,20,1.6,52
gew,32,retains,62,20,1.6,52
attractively,32,detailed,62,20,1.6,52
sharpness,32,balances,62,20,1.6,52
horsey,32,2013,62,20,1.6,52
jalape,32,tongue,62,20,1.6,52
define,32,relatively,62,20,1.6,52
dominate,117,herbal,209,74,1.581081081,191
carob,36,mushrooms,69,23,1.565217391,59
help,53,absolutely,100,34,1.558823529,87
get,154,lingering,283,99,1.555555556,253
polish,31,oldest,62,20,1.55,51
torront,31,providing,62,20,1.55,51
sketchy,31,fermentation,62,20,1.55,51
cidery,31,place,61,20,1.55,51
mushy,31,sure,61,20,1.55,51
pruny,31,primary,61,20,1.55,51
veers,31,mingle,61,20,1.55,51
drawing,31,mandarin,61,20,1.55,51
bears,31,br,61,20,1.55,51
disappointing,31,base,60,20,1.55,51
clampy,31,property,60,20,1.55,51
suggestions,31,complexities,60,20,1.55,51
party,31,known,60,20,1.55,51
fans,31,poise,60,20,1.55,51
casual,31,create,60,20,1.55,51
dominant,57,ever,106,37,1.540540541,94
good,707,berry,1185,459,1.540305011,1166
use,43,winemaking,83,28,1.535714286,71
suggest,139,old,249,91,1.527472527,230
high,358,savory,630,235,1.523404255,593
prune,140,does,251,92,1.52173913,232
no,264,depth,461,174,1.517241379,438
jam,278,like,481,184,1.510869565,462
aftertaste,232,cedar,401,154,1.506493506,386
powdered,30,juniper,59,20,1.5,50
kiwi,30,allow,59,20,1.5,50
turning,30,7,59,20,1.5,50
misses,30,santa,59,20,1.5,50
curious,30,2,59,20,1.5,50
clipped,30,leathery,59,20,1.5,50
blush,30,exuberant,59,20,1.5,50
serve,30,2008,59,20,1.5,50
tire,30,poised,59,20,1.5,50
pineapple,395,bottling,653,264,1.496212121,659
enough,256,come,447,172,1.488372093,428
jelly,40,worth,77,27,1.481481481,67
carry,96,richly,169,65,1.476923077,161
acids,221,blueberry,390,150,1.473333333,371
briary,44,laced,85,30,1.466666667,74
offset,38,textural,73,26,1.461538462,64
leaving,83,slightly,147,57,1.456140351,140
bramble,45,example,87,31,1.451612903,76
clarity,29,owned,58,20,1.45,49
reedy,29,25,58,20,1.45,49
high-acid,29,scent,58,20,1.45,49
cutting,29,let,58,20,1.45,49
jagged,29,point,58,20,1.45,49
salad,29,class,58,20,1.45,49
fails,29,bringing,58,20,1.45,49
announce,29,age-worthy,58,20,1.45,49
precede,29,acidic,58,20,1.45,49
similarly,29,fascinating,57,20,1.45,49
popular,29,precision,57,20,1.45,49
sipper,29,run,57,20,1.45,49
would,150,was,267,105,1.428571429,255
flavors,6506,it,9911,4557,1.427693658,11063
value,47,salty,90,33,1.424242424,80
mouth,626,still,1000,441,1.419501134,1067
wide,34,streaks,65,24,1.416666667,58
yeasty,128,tangy,234,91,1.406593407,219
things,66,youthful,121,47,1.404255319,113
honeydew,35,nervy,68,25,1.4,60
recall,35,natural,68,25,1.4,60
upfront,35,2021,67,25,1.4,60
vegetables,28,50,57,20,1.4,48
looking,28,atop,57,20,1.4,48
cold,28,force,56,20,1.4,48
thus,28,presents,56,20,1.4,48
leesy,28,pink,56,20,1.4,48
distinctly,28,extreme,55,20,1.4,48
reasonably,28,hit,55,20,1.4,48
sb,28,typical,55,20,1.4,48
country-style,28,woodland,55,20,1.4,48
hickory,28,flashy,55,20,1.4,48
vinho,28,unique,55,20,1.4,48
verde,28,strawberries,54,20,1.4,48
nectarine,96,pretty,168,69,1.391304348,165
instead,32,late,62,23,1.391304348,55
peaches,93,california,165,67,1.388059701,160
definitely,36,coastal,69,26,1.384615385,62
o,73,grape,134,53,1.377358491,126
mouthfeel,490,time,833,356,1.376404494,846
viognier,99,finishes,175,72,1.375,171
leads,66,easily,121,48,1.375,114
tasted,44,fermented,86,32,1.375,76
going,140,tightly,253,102,1.37254902,242
mark,89,huge,159,65,1.369230769,154
seemingly,41,whole,80,30,1.366666667,71
residual,86,lots,151,63,1.365079365,149
surprisingly,53,linger,98,39,1.358974359,92
damp,27,swirl,54,20,1.35,47
substance,27,closes,54,20,1.35,47
average,27,special,54,20,1.35,47
organic,27,92-94,54,20,1.35,47
carmen,27,dazzling,54,20,1.35,47
powdery,27,o,53,20,1.35,47
matchstick,27,drive,53,20,1.35,47
pit,27,extended,53,20,1.35,47
viura,27,charm,53,20,1.35,47
bready,27,seem,52,20,1.35,47
cleansing,27,60,52,20,1.35,47
tasty,27,includes,52,20,1.35,47
seafood,27,benefit,52,20,1.35,47
wash,27,estate-grown,52,20,1.35,47
onto,58,stony,109,43,1.348837209,101
bite,58,impressively,107,43,1.348837209,101
american,31,memorable,61,23,1.347826087,54
dessert,101,certainly,178,75,1.346666667,176
finish,3286,flavors,4557,2441,1.346169603,5727
sweetness,324,beautiful,571,241,1.34439834,565
passion,43,may,84,32,1.34375,75
citrus,960,oak,1516,720,1.333333333,1680
match,44,suggesting,86,33,1.333333333,77
gently,40,lot,75,30,1.333333333,70
color,433,you,732,327,1.324159021,760
quite,264,good,459,200,1.32,464
leave,33,astringency,64,25,1.32,58
grape,176,ready,317,134,1.313432836,310
point,76,2016,141,58,1.310344828,134
aromas,3380,that,4751,2584,1.308049536,5964
apple,914,will,1515,702,1.301994302,1616
muscat,26,half,52,20,1.3,46
verdejo,26,brightness,52,20,1.3,46
pyrazines,26,fill,51,20,1.3,46
applesauce,26,woven,51,20,1.3,46
day,26,begin,51,20,1.3,46
sawdust,26,12,51,20,1.3,46
latex,26,appetizing,51,20,1.3,46
peachy,26,lightness,51,20,1.3,46
satisfy,26,bread,51,20,1.3,46
cheeses,26,enormously,51,20,1.3,46
no-fuss,26,blending,50,20,1.3,46
prickle,26,asphalt,50,20,1.3,46
however,74,seems,139,57,1.298245614,131
crisp,850,shows,1328,655,1.297709924,1505
gets,76,heady,141,59,1.288135593,135
prime,36,2026,69,28,1.285714286,64
buttered,167,make,299,130,1.284615385,297
chardonnay,489,lemon,823,381,1.283464567,870
crispness,64,nuances,118,50,1.28,114
terms,57,2030,105,45,1.266666667,102
ne,29,different,58,23,1.260869565,52
off,269,even,473,214,1.257009346,483
table,49,gentle,94,39,1.256410256,88
probably,59,jammy,110,47,1.255319149,106
borderline,25,decanting,50,20,1.25,45
volatility,25,cuts,50,20,1.25,45
piercing,25,impeccably,50,20,1.25,45
quaff,25,woody,50,20,1.25,45
neither,25,crispness,50,20,1.25,45
pulpy,25,distinct,50,20,1.25,45
beaujolais,25,contrast,50,20,1.25,45
stone-fruit,25,loam,50,20,1.25,45
noticeable,25,quince,49,20,1.25,45
stainless,25,produce,49,20,1.25,45
fair,25,port,49,20,1.25,45
tonic,25,substantial,49,20,1.25,45
dominates,51,continues,95,41,1.243902439,92
ends,37,cigar,71,30,1.233333333,67
colored,33,carry,65,27,1.222222222,60
